,Country,Rank,Score,Year,Life Expectancy,Trust in the gov,Economy strength,Generosity,Perceived freedom,Family,ISO
71,Hong Kong,72,5.474,2015,84.11855591054314,0.6726459024116251,0.8199382402006601,0.4960295521937981,0.8900303107222314,0.7546408221190531,HKG
72,Estonia,73,5.429,2015,77.68651757188499,0.2751173198528746,0.681333633061606,0.1090616675880786,0.6702402460693114,0.8756837323406288,EST
73,Indonesia,74,5.399,2015,74.04526517571885,0.0,0.48997882183126085,0.647522239533598,0.695967031490302,0.775250850431099,IDN
74,Vietnam,75,5.36,2015,76.96594249201279,0.18917939519124494,0.37396623324380923,0.21184098105241994,0.8875815627193047,0.6505780078874364,VNM
75,Turkey,76,5.332,2015,76.56231309904153,0.2853001395155007,0.6276428343251973,0.15395537015630498,0.34065966882176396,0.67486788900537,TUR
76,Kyrgyzstan,77,5.286,2015,74.39280511182109,0.07667916870504249,0.2805693259663279,0.37731818867165906,0.649172054409986,0.8209423561042053,KGZ
77,Nigeria,78,5.268,2015,61.22090734824281,0.07301915167328006,0.3870931484483146,0.3421746997034729,0.5126543532468307,0.6449155987248881,NGA
78,Bhutan,79,5.253,2015,72.33145047923323,0.27984635176025074,0.45575655754191263,0.6030808664622808,0.7944395502665252,0.7872816870270924,BTN
79,Azerbaijan,80,5.212,2015,74.1128945686901,0.2910800674022938,0.6057015416287076,0.09799215962205357,0.5529093813925015,0.6688845624469595,AZE
80,Pakistan,81,5.194,2015,70.7370607028754,0.18959612980377236,0.3522379053726293,0.42306629140071367,0.18069968494766547,0.2953224506678647,PAK
81,Jordan,82,5.192,2015,75.61415974440895,0.25897338334148684,0.5335833698134191,0.13887772025933556,0.6071252594329059,0.75160280410489,JOR
82,Montenegro,82,5.192,2015,76.38760383386582,0.2590277400300774,0.5764129624590338,0.2027943911142383,0.2726471861795052,0.6458070359356168,MNE
83,China,84,5.14,2015,78.83970607028755,0.050388650323422296,0.5265673619573834,0.10284213700557873,0.7719080823615487,0.6751745434058606,CHN
84,Zambia,85,5.129,2015,64.95582108626198,0.2259063977822471,0.27826220702547294,0.2461551992762728,0.7290549923103339,0.6533307659941664,ZMB
85,Romania,86,5.124,2015,77.56011501597445,0.011759163631751553,0.6172726304705339,0.17273960898627932,0.5236139936989532,0.6317651169922195,ROU
86,Serbia,87,5.123,2015,77.00888178913738,0.04741715134713993,0.5445569740064599,0.24163190430718198,0.30022546399295236,0.7200245323520392,SRB
87,Portugal,88,5.102,2015,80.41262619808307,0.019532170100197494,0.6861667514582175,0.17237523244710257,0.7685037253818702,0.8125271888349272,PRT
88,Latvia,89,5.098,2015,76.3650607028754,0.11472885071841424,0.6584872398575502,0.2290043725184701,0.44302928045630324,0.7813411494547969,LVA
89,Philippines,90,5.073,2015,72.52118849840255,0.22248192640104364,0.417245418298411,0.31400462381263505,0.9338838039209829,0.7382241144462749,PHL
90,Somaliland region,91,5.057,2015,68.69932268370607,0.7234512873475748,0.11149300173921274,0.6322309895964215,0.6955340211727113,0.6785762678020011,
91,Morocco,92,5.013,2015,73.28336102236422,0.15484408689822615,0.4346789555258457,0.09011408755088707,0.6225045914025055,0.4570933441732098,MAR
92,Macedonia,93,5.007,2015,76.66241533546327,0.09651936004058632,0.543362004708889,0.2809343117052822,0.4995595239872784,0.7148042760460125,
93,Mozambique,94,4.971,2015,59.375591054313105,0.28270913735935205,0.049147549129802064,0.27980348796300947,0.5082197303390918,0.7318770815058869,MOZ
94,Albania,95,4.959,2015,78.75033865814697,0.11619648131035858,0.5197938973746169,0.179323516107956,0.5335433682230152,0.5736148848619699,ALB
95,Bosnia and Herzegovina,96,4.949,2015,78.14811501597444,0.004112989436683517,0.4923214349096674,0.3117052822033472,0.13804070296985352,0.6554987412906584,BIH
96,Lesotho,97,4.898,2015,58.96793610223642,0.2265586780453335,0.22210456572922704,0.20591043875961199,0.47432547444492557,0.7424103035878563,LSO
97,Dominican Republic,98,4.885,2015,74.85896485623003,0.25790436846587306,0.5296730989931496,0.2724531336382369,0.8611231391754886,0.8358257917745305,DOM
98,Laos,99,4.876,2015,71.6610607028754,0.4393651138772626,0.3494161214372759,0.5301301703774438,0.8897764770877816,0.5263259237072377,
99,Mongolia,100,4.874,2015,73.0992587859425,0.048304977260785274,0.48993149631452537,0.4175252550635774,0.6513968315589864,0.9275225890189198,MNG
100,Swaziland,101,4.867,2015,58.9555910543131,0.05544382236234168,0.42123259308337574,0.22941900789063677,0.4577665626446478,0.7650955977264785,SWZ
101,Greece,102,4.857,2015,80.59887539936102,0.02531209798699063,0.6827060730469351,0.0,0.11495677362519224,0.6627514744371465,GRC
102,Lebanon,103,4.839,2015,79.45400638977637,0.08302078237393777,0.6067367873072964,0.2745891340403076,0.5064130321174204,0.5705269463640059,LBN
103,Hungary,104,4.8,2015,77.29576996805112,0.04997191571089489,0.6631133091184439,0.16082826556767352,0.47947680408522836,0.8573129943019333,HUN
104,Honduras,105,4.788,2015,75.57953993610224,0.12366146654345818,0.352172832787118,0.28932753681459517,0.5994654562286295,0.6799740413484235,HND
105,Tajikistan,106,4.786,2015,72.32393610223643,0.27308800347882806,0.2309899314963145,0.288661607277479,0.7050005225986592,0.6101923364925868,TJK
106,Tunisia,107,4.739,2015,76.7289712460064,0.11519994201953217,0.5212491570142331,0.08080363873950848,0.39221775939557735,0.4309492736569607,TUN
107,Palestinian Territories,108,4.715,2015,74.64158466453674,0.23382435542026778,0.3541545888004165,0.14136553249233552,0.3658041300225464,0.6600771628049606,
108,Bangladesh,109,4.694,2015,73.0713482428115,0.2277364062981283,0.23516640834822114,0.2666482384279037,0.6094993504845235,0.3074103392453449,BGD
109,Iran,110,4.686,2015,75.65870926517572,0.10623108840209454,0.5967747660344765,0.4785394783133135,0.44843444373105573,0.3882886545003316,
110,Ukraine,111,4.681,2015,75.01059424920129,0.05365005163885416,0.4727050082228085,0.19192591848017287,0.3751213175458767,0.8577622786561405,UKR
